Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 10, 0, 2.75, 2.75, 2.76, 0.01, 1, 2.76, 2.974, 0.214, 0, 0, 2.974, 3.424, 0.45, 500, 3.424, 3.432, 0.008, 1800, -1, 3.432, 3.688, 0.256, 500, 3.688, 3.906, 0.218, 1800, -1, 3.906, 4.164, 0.258, 500, 4.164, 4.174, 0.01, 1800, -1, 4.174, 4.426, 0.252, 500, 4.426, 4.436, 0.01, 1800, -1, 4.436, 4.686, 0.25, 500, 4.686, 4.91, 0.224, 1800, -1, 4.91, 5.109, 0.2, 500, 5.109, 5.327, 0.218, 1800, -1, 5.327, 5.568, 0.24, 500, 5.568, 5.578, 0.01, 0, 1, 5.578, 5.585, 0.007, 1,     2.835,
 11, 0, 3, 3, 3.01, 0.01, 1, 3.01, 3.224, 0.214, 0, 0, 3.224, 3.68, 0.456, 500, 3.68, 3.688, 0.008, 1800, -1, 3.688, 3.946, 0.258, 500, 3.946, 4.164, 0.218, 1800, -1, 4.164, 4.426, 0.262, 500, 4.426, 4.436, 0.01, 1800, -1, 4.436, 4.686, 0.25, 500, 4.686, 4.696, 0.01, 1800, -1, 4.696, 4.945, 0.25, 500, 4.945, 5.167, 0.222, 1800, -1, 5.167, 5.367, 0.2, 500, 5.367, 5.585, 0.218, 1800, -1, 5.585, 5.828, 0.242, 500, 5.828, 5.838, 0.01, 0, 1, 5.838, 5.848, 0.01, 1,     2.848,
#======================================
#Number of workloads:12
#Timeout workloads:0
#Timeout workloads per cent:0
#Over workloads:0
#Over workloads per cent:0
#Number of Cloudlets:108
#Over Cloudlets:0
#Over Cloudlets per cent:0
#Number of transmissions:96
#Over transmissions:92
#Over transmissions per cent:0
#======================================
#Total serve time:33.83349999999997
#CPU serve time:22.716699999999975
#Network serve time:11.116799999999989
#Average total serve time:2.819458333333331
#Average CPU serve time per workload:1.8930583333333313
#Average network serve time per workload:0.9263999999999991
#Average CPU serve time per Cloudlet:0.2103398148148146
#Average network serve time per transmission:0.11579999999999989
